,Name,Type,Link,Latitude,Longitude,ImageUrl,Description
10,Aigai (Aeolis),Greek,https://en.wikipedia.org//wiki/Aigai_(Aeolis),38°49′52″N,27°11′19″E,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/AigaiMarkthalle1.jpg/800px-AigaiMarkthalle1.jpg,"Aigai, also Aigaiai (Ancient Greek: Αἰγαί or Αἰγαῖαι; Latin: Aegae or Aegaeae; Turkish: Nemrutkale or Nemrut Kalesi), was an ancient Greek, later Roman (Ægæ, Aegae), city and bishopric in Aeolis. Aegae is mentioned by both Herodotus[1] and Strabo[2] as being a member of the Aeolian dodecapolis. It was also an important sanctuary of Apollo. Aigai had its brightest period under the Attalid dynasty, which ruled from nearby Pergamon in the 3rd and 2nd century BC.
"
11,Aizanoi,Greek,https://en.wikipedia.org//wiki/Aizanoi,39°12′N,29°37′E,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Aizanoi.ZeusTemple.jpg/800px-Aizanoi.ZeusTemple.jpg,"Aizanoi (Ancient Greek: Αἰζανοί), Latinized as Aezani, was an Ancient Greek city in western Anatolia. Located in what is now Çavdarhisar, near Kütahya, its ruins are situated astride the River Penkalas, some 1,000 m (3,300 ft) above sea level. The city was an important political and economic centre in Roman times; surviving remains from the period include a well-preserved Temple of Zeus, unusual combined theatre-stadium complex, and macellum inscribed with the Price Edict of Diocletian. The city fell into decline in Late Antiquity. Later serving as a citadel, in 2012 the site was submitted for inscription on the UNESCO World Heritage List.[1]
"
12,Alaşehir,Greek,https://en.wikipedia.org//wiki/Ala%C5%9Fehir,38°21′N,28°31′E,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Manisa_districts.png/776px-Manisa_districts.png,"Alaşehir (Turkish pronunciation: [aˈɫaʃehiɾ]), in Antiquity and the Middle Ages known as Philadelphia (Greek: Φιλαδέλφεια, i.e., ""the city of him who loves his brother""), is a town and district of Manisa Province in the Aegean region of Turkey. It is situated in the valley of the Kuzuçay (Cogamus in antiquity), at the foot of the Bozdağ Mountain (Mount Tmolus in antiquity). The town is connected to İzmir by a 105 km (65 mi) railway. The longtime mayor is Gökhan Karaçoban.
"
13,Alexandria Troas,Greek,https://en.wikipedia.org//wiki/Alexandria_Troas,39°45′06″N,26°09′31″E,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Troas_Therme_2.JPG/800px-Troas_Therme_2.JPG,"Alexandria Troas (""Alexandria of the Troad""; Greek: Αλεξάνδρεια Τρωάς; Turkish: Eski Stambul) is the site of an ancient Greek city situated on the Aegean Sea near the northern tip of Turkey's western coast, the area known historically as Troad. a little south of Tenedos (modern Bozcaada). It is located southeast of modern Dalyan, a village in the Ezine district of Çanakkale Province. The site sprawls over an estimated 400 hectares (990 acres); among the few structures remaining today are a ruined bath, an odeon, a theatre, gymnasium complex[1] and a recently uncovered stadion.[2]  The circuit of the old walls can still be traced.
"
14,Alinda,Greek,https://en.wikipedia.org//wiki/Alinda,37°33′30″N,27°49′25″E,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Alinda_Agora.JPG/800px-Alinda_Agora.JPG,"Alinda (Ancient Greek: Ἄλινδα) was an inland city and bishopric in ancient Caria, in Asia Minor (Anatolia). Modern scholars identify Alinda with the Hellenistic foundation of Alexandria ad Latmum (Ἀλεξάνδρεια πρὸς τῷ Λάτμῳ) noted by Stephanus of Byzantium.[1][2][3]
"
15,Allianoi,Greek,https://en.wikipedia.org//wiki/Allianoi,39°14′05″N,27°18′20″E,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/512px-Question_book-new.svg.png,"Allianoi (Greek: Αλλιανοί), is an ancient spa settlement, with remains dating predominantly from the Roman Empire period (2nd century AD) located near the city of Bergama (ancient Pergamon) in Turkey's İzmir Province. The site is at a distance of 18 kilometers to the northeast of Bergama, on the road to the neighboring town of İvrindi. Allianoi is directly inside the reservoir of the Yortanlı Dam, built by the Turkish State Hydraulic Works. After ongoing discussion in Turkey with regards to preserving Allianoi's ruins, the site was covered with sand and the dam was activated, resulting in Allianoi's complete inundation and destruction in February 2011.[citation needed]
"
16,Amasra,Greek,https://en.wikipedia.org//wiki/Amasra,41°44′58″N,32°23′11″E,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Amasra%2C_Turkey%2C_Castle%2C_view_from_the_island.jpg/800px-Amasra%2C_Turkey%2C_Castle%2C_view_from_the_island.jpg,"Amasra (from Greek Amastris Ἄμαστρις, gen. Ἀμάστριδος) is a small Black Sea port town in the Bartın Province, Turkey, formerly known as Amastris.
"
17,Amasya,Greek,https://en.wikipedia.org//wiki/Amasya,40°39′00″N,35°49′59″E,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Amasya_evleri_ve_Ye%C5%9Fil%C4%B1rmak.jpg/800px-Amasya_evleri_ve_Ye%C5%9Fil%C4%B1rmak.jpg,"Amasya (Turkish pronunciation: [aˈmasja]; Greek: Ἀμάσεια) is a city in northern Turkey and is the capital of Amasya Province, in the Black Sea Region. It used to be called Amaseia or Amasia in antiquity.[3] Amasya stands in the mountains above the Black Sea coast, set apart from the rest of Anatolia in a narrow valley along the banks of the Yeşilırmak River. Although near the Black Sea, this area is high above the coast and has an inland climate, well-suited to growing apples, for which Amasya province, one of the provinces in north-central Anatolia Turkey, is famed. It was the home of the geographer Strabo and the birthplace of the 15th century scholar and physician Amirdovlat Amasiatsi. Located in a narrow cleft of the Yeşilırmak (Iris) river, it has a history of 7,500 years which has left many traces still evident today.
"
18,Amos (ancient city),Greek,https://en.wikipedia.org//wiki/Amos_(ancient_city),36°45′27.20″N,28°16′8.02″E,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Amos_theatre.jpg/450px-Amos_theatre.jpg,"Amos (Ancient Greek: Ἄμος, possibly from ἄμμος ""sandy"") was a settlement (dēmē) of ancient Caria, located near the modern town of Turunç, Turkey.
"
19,Anaea (Asia),Greek,https://en.wikipedia.org//wiki/Anaea_(Asia),,,,"Anaea (or Anæa) (Ancient Greek: Ἄναια) is an ancient city, former bishopric and present Latin Catholic titular see in Asia Minor.
"
20,Anazarbus,Greek,https://en.wikipedia.org//wiki/Anazarbus,37°15′50″N,35°54′20″E,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Anavarza_Triumphal_arch_in_Anazarbus_2754.jpg/800px-Anavarza_Triumphal_arch_in_Anazarbus_2754.jpg,"
"
21,Anchiale,Greek,https://en.wikipedia.org//wiki/Anchiale,36°48′35″N,34°41′58″E,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Karaduvar_aqueduct.jpg/800px-Karaduvar_aqueduct.jpg,"Anchiale (Ancient Greek: Ἀγχιάλη) or Anchialeia was a historic city of ancient Cilicia now a part of modern Mersin, Turkey. It was inhabited during the Hellenistic, Roman, and Byzantine eras.
"
22,Ancoz,Greek,https://en.wikipedia.org//wiki/Ancoz,,,,"Ancoz is the name used in academic literature for an ancient settlement, which is located below the Atatürk Dam in the modern state of Turkey. It is located in the modern town of Eskitaş, which used to be called Ancoz.
"
23,Andriake,Greek,https://en.wikipedia.org//wiki/Andriake,36°14′50″N,29°58′58″E,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Turkey_adm_location_map.svg/800px-Turkey_adm_location_map.svg.png,"Andriake or Andriaca (Ancient Greek: Ἀνδριάκη) was an ancient city and the port of the ancient town of Myra in Lycia. Appian (B.C. iv. 82) says that Lentulus broke through the chain which crossed the entrance of the port, and went up the river to Myra. Beaufort (Karamania, p. 26) gives the name Andráki to the river of Myra. On the north side of the entrance are the remains of large Roman horrea, with a perfect inscription, which states that the horrea were Hadrian's: the date is Hadrian's third consulate, which is 119 CE.
"
24,Anemurium,Greek,https://en.wikipedia.org//wiki/Anemurium,36°01′27.37″N,32°48′09.36″E,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Anemurium_path.jpg/800px-Anemurium_path.jpg,"Anemurium (Ancient Greek: Ἀνεμούριον, romanized: Anemourion), also called Animurium,[1] is an ancient city whose ruins, now called Eski Anamur or Anemuryum, are close to the modern Turkish city of Anamur.  It was in the Roman province of Cilicia, later Isauria, and was situated near a high promontory (Cape Anamur) that marks the southernmost point of Asia Minor, only 64 km from Cyprus. In medieval times, it was called Stallimur.[2][3]
"
25,Antakya,Greek,https://en.wikipedia.org//wiki/Antakya,36°12′09″N,36°09′38″E,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/View_of_Antakya.jpg/800px-View_of_Antakya.jpg,"Antakya (Turkish pronunciation: [ɑnˈtɑkjɑ]), historically known as Antioch (Greek: Ἀντιόχεια, Armenian: Andiok - Անտիոք), is the capital of Hatay Province, the southernmost province of Turkey. The city is located in a well-watered and fertile valley on the Orontes River, about 20 kilometers (12 mi) from the Levantine Sea.
"
26,Antalya,Greek,https://en.wikipedia.org//wiki/Antalya,36°53′15″N,30°42′27″E,,"
"
27,Antandrus,Greek,https://en.wikipedia.org//wiki/Antandrus,39°34′33″N,26°47′26″E,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Turkey_adm_location_map.svg/800px-Turkey_adm_location_map.svg.png,"Antandrus or Antandros (Ancient Greek: Ἄντανδρος) was an ancient Greek city on the north side of the Gulf of Adramyttium in the Troad region of Anatolia. Its surrounding territory was known in Greek as Ἀντανδρία (Antandria),[1] and included the towns of Aspaneus on the coast and Astyra to the east.[2] It has been located on Devren hill between the modern village of Avcılar and the town of Altınoluk in the Edremit district of Balıkesir Province, Turkey.[3]
"
28,Antigonia (Syria),Greek,https://en.wikipedia.org//wiki/Antigonia_(Syria),36°15′14.1″N,36°12′18.6″E,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Turkey_adm_location_map.svg/800px-Turkey_adm_location_map.svg.png,"Antigonia (Greek: Αντιγόνεια) also transliterated as Antigonea and Antigoneia was a Hellenistic city in Seleucid Empire, Syria (in modern Turkey), on the Orontes, founded by Antigonus I Monophthalmus in 307 BC, and intended to be the capital of his empire; the site is approximately 7 km northeast of Antakya, Hatay Province, Turkey. After the Battle of Ipsus, 301 BC, in which Antigonus perished, the inhabitants of Antigonia were removed by his successful rival Seleucus I Nicator to the city of Antioch, which Seleucus founded a little lower down the river. (Strabo xvi. p. 750; Diod. xx. 47; Liban. Antioch. p. 349; Malalas, p. 256.) Diodorus erroneously says that the inhabitants were removed to Seleucia Pieria. Antigonia continued, however, to exist, and is mentioned in the war with the Parthians after the defeat of Crassus. (Dion Cass. xl. 29.)
"
29,Antioch,Greek,https://en.wikipedia.org//wiki/Antioch,36°12′17″N,36°10′54″E,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Antiochia_su_Oronte.PNG/494px-Antiochia_su_Oronte.PNG,"Antioch on the Orontes (/ˈænti.ɒk/; Ancient Greek: Ἀντιόχεια ἡ ἐπὶ Ὀρόντου, Antiókheia hē epì Oróntou; also Syrian Antioch)[note 1] was an ancient Greek city[1] on the eastern side of the Orontes River. Its ruins lie near the current city of Antakya, Turkey, to which the ancient city lends its name.
"
30,Antiochia ad Cragum,Greek,https://en.wikipedia.org//wiki/Antiochia_ad_Cragum,36°09′26″N,32°24′56″E,,"Antiochia ad Cragum (Greek: Αντιόχεια του Κράγου) also known as Antiochetta or Latin: Antiochia Parva (meaning ""Little Antiochia"") is an ancient Hellenistic city on Mount Cragus overlooking the Mediterranean coast, in the region of Cilicia, in Anatolia. In modern-day Turkey the site is encompassed in the village of Güneyköy, District of Gazipaşa, Antalya Province.
"
31,Antiochia ad Taurum,Greek,https://en.wikipedia.org//wiki/Antiochia_ad_Taurum,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Heinrich_Kiepert._Asia_citerior.Cilicia.jpg/800px-Heinrich_Kiepert._Asia_citerior.Cilicia.jpg,"Antiochia ad Taurum (Ancient Greek: Ἀντιόχεια τοῦ Ταύρου; ""Antiochia in the Taurus"") was an ancient Hellenistic city in the Taurus Mountains of Cilicia (later Commagene province), Anatolia.[1]  Most modern scholars locate Antiochia ad Taurum at or near Gaziantep, Gaziantep Province, Turkey (formerly called Aïntab),[2][3][4] although past scholars tried to associate it with Aleppo (Arabic name Halab), Syria.[5]
"
32,Antiochia Lamotis,Greek,https://en.wikipedia.org//wiki/Antiochia_Lamotis,36°33′26″N,34°14′28″E,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Turkey_adm_location_map.svg/800px-Turkey_adm_location_map.svg.png,"Antiochia Lamotis (Greek: Αντιόχεια η Λαμωτίς), Antiochia in Isauria (Αντιόχεια της Ισαυρίας), or Antiochia super Cragum[1] is a Hellenistic city in ancient Cilicia, Anatolia at the mouth of Lamos (or Lamus) river. The site is on the coast a few km southwest of Erdemli, Mersin Province, Turkey.
"
33,Antiochia Paraliou,Greek,https://en.wikipedia.org//wiki/Antiochia_Paraliou,,,,"Antiochia Paraliou (Greek: Αντιοχεία η Παράλιος) is an ancient city known only from its coinage which bears the legend ""ΑΝΤΙΟΧΕΩΝ ΤΗΣ ΠΑΡΑΛΙΟΥ"".  Although the location is considered unknown, some numismatists equate the city with Antiochia ad Cragum, but the association is not universally accepted.
"
34,Antiphellus,Greek,https://en.wikipedia.org//wiki/Antiphellus,36°12′00″N,29°38′06″E,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Antiphellus_Ancient_Theatre_-_2014.10_-_panoramio.jpg/800px-Antiphellus_Ancient_Theatre_-_2014.10_-_panoramio.jpg,"Antiphellus or Antiphellos (Ancient Greek: Ἀντίφελλος) was city that acted as the port of Phellus (Phellos) in Lycia. It was at the head of a bay on the south coast.[1] Sir Francis Beaufort, the discoverer of this ancient site, gave the contemporary name of Vathy to the bay at the head of which Antiphellus stands.[2]
"
35,Apamea,Greek,https://en.wikipedia.org//wiki/Apamea,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/DAB_list_gray.svg/220px-DAB_list_gray.svg.png,"Apamea or Apameia (Ancient Greek: Απάμεια) is the name of several Hellenistic cities in western Asia, after Apama, the Sogdian wife of Seleucus I Nicator, several of which are also former bishoprics and Catholic titular see.
"
36,Apamea (Euphrates),Greek,https://en.wikipedia.org//wiki/Apamea_(Euphrates),37°04′00″N,37°53′01″E,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Zeugma.jpg/800px-Zeugma.jpg,"Apamea or Apameia (Greek: Απάμεια) was a Hellenistic city on the left (viz., the eastern) bank of the Euphrates, opposite the famous city of Zeugma, at the end of a bridge of boats (Greek: Ζεῦγμα zeugma) connecting the two, founded by Seleucus I Nicator (Pliny, v. 21). The city was rebuilt by Seleucus I. The site, once partially covered by the village of Tilmusa [tr] (formerly Rumkale), Şanlıurfa Province, Turkey, is now flooded by the lake formed by the Birecik Dam (Birejik Dam).[1][2]
"
37,Apamea (Phrygia),Greek,https://en.wikipedia.org//wiki/Apamea_(Phrygia),38°04′18″N,30°09′56″E,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Turkey_relief_location_map.jpg/800px-Turkey_relief_location_map.jpg,"Apamea Cibotus, Apamea ad Maeandrum (on the Maeander), Apamea or Apameia (Ancient Greek: Ἀπάμεια, Ancient Greek: κιβωτός) was an ancient city in Anatolia founded in the 3rd century BC by Antiochus I Soter, who named it after his mother Apama. It was in Hellenistic Phrygia,[1] but became part of the Roman province of Pisidia.[2][3] It was near, but on lower ground than, Celaenae (Kelainai).
"
38,Apamea Myrlea,Greek,https://en.wikipedia.org//wiki/Apamea_Myrlea,40°22′35″N,28°53′00″E,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Turkey_adm_location_map.svg/800px-Turkey_adm_location_map.svg.png,"Apamea Myrlea (/ˌæpəˈmiːə mərˈliːə/; Ancient Greek: Απάμεια Μύρλεια) was an ancient city and bishopric (Apamea in Bithynia) on the Sea of Marmara, in Bithynia, Anatolia; its ruins are a few kilometers south of Mudanya, Bursa Province in the Marmara Region of Asian Turkey.
"
39,Aphrodisias,Greek,https://en.wikipedia.org//wiki/Aphrodisias,37°42′30″N,28°43′25″E,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/The_Temple_of_Aphrodite%2C_built_in_the_Ionic_order_in_stages_during_the_Roman_period_%28from_1st_century_BC_to_2nd_century_AD%29_and_later_converted_into_a_Christian_basilica%2C_Aphrodisias%2C_Caria%2C_Turkey_%2819864929084%29.jpg/800px-thumbnail.jpg,"Aphrodisias (/æfrəˈdɪsiəs/;[1] Ancient Greek: Ἀφροδισιάς, romanized: Aphrodisiás) was a small ancient Greek Hellenistic city in the historic Caria cultural region of western Anatolia, Turkey. It is located near the modern village of Geyre, about 100 km (62 mi) east/inland from the coast of the Aegean Sea, and 230 km (140 mi) southeast of İzmir.
"
40,Aphrodisias (Cilicia),Greek,https://en.wikipedia.org//wiki/Aphrodisias_(Cilicia),36°09′29″N,33°41′30″E,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Tisan_mosaic.jpg/800px-Tisan_mosaic.jpg,"Aphrodisias (Ancient Greek: Ἀφροδισιάς), sometimes called Aphrodisias of Cilicia to distinguish it from the town of the same name in Caria, was a port city of ancient Cilicia whose ruins now lie near Cape Tisan in Mersin Province, Turkey.[1]
"
41,Apollonia (Lycia),Greek,https://en.wikipedia.org//wiki/Apollonia_(Lycia),36°11′12″N,29°45′50″E,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Turkey_adm_location_map.svg/800px-Turkey_adm_location_map.svg.png,"Apollonia (Ancient Greek: Ἀπολλωνία) was a city in ancient Lycia. Its ruins are located near Kiliçli (Sıçak), a small village in the Kaş district of Antalya Province, Turkey.
"
42,Apollonia (Mysia),Greek,https://en.wikipedia.org//wiki/Apollonia_(Mysia),39°12′09″N,27°29′40″E,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Turkey_adm_location_map.svg/800px-Turkey_adm_location_map.svg.png,"Apollonia (Ancient Greek: Ἀπολλωνία) was a town of ancient Mysia, Anatolia, situated on an eminence east of Pergamum, on the way to Sardis.[1] It seems to have been near the borders of Mysia and Lydia. 
"
43,Apollonia ad Rhyndacum,Greek,https://en.wikipedia.org//wiki/Apollonia_ad_Rhyndacum,40°10′10″N,28°40′57″E,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Turkey_adm_location_map.svg/800px-Turkey_adm_location_map.svg.png,"Apollonia or Apollonia-on-the-Rhyndacus (Ancient Greek: Ἀπολλωνία ἐπὶ Ῥυνδακῷ, Apollōnía épì Ryndakō; Latin: Apollonia ad Rhyndacum) was an ancient town near the Rhyndacus river in northwestern Anatolia. Strabo placed it in Mysia, causing some to misidentify the site as Uluabat on the western shore of Lake Uluabat. However, the site is actually the promontory tombolo on the northeastern shore, near modern Gölyazı. The remains of Apollonia are inconsiderable. The Rhyndacus flows into the lake and issues from it a deep and muddy river. The lake extends from east to west and is studded with several islands in the northeast part, on one of which is Gölyazı, but the dimensions vary greatly through the seasons.
"
44,Apollonia Salbaces,Greek,https://en.wikipedia.org//wiki/Apollonia_Salbaces,37°30′23″N,29°01′23″E,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Heinrich_Kiepert._Asia_citerior.Caria.jpg/800px-Heinrich_Kiepert._Asia_citerior.Caria.jpg,"Apollonia Salbaces or Apollonia Salbakes (Ancient Greek: Ἀπολλωνία Σαλβάκη) was a town in ancient Caria, Anatolia.
"
45,Apollonos Hieron,Greek,https://en.wikipedia.org//wiki/Apollonos_Hieron,38°2′42″N,28°49′50″E,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Turkey_adm_location_map.svg/800px-Turkey_adm_location_map.svg.png,"Apollonos Hieron (Greek: Ἀπόλλωνος ἱερόν, ""Temple of Apollo"")[1] was an ancient city of Lydia.
"
46,Araxa,Greek,https://en.wikipedia.org//wiki/Araxa,36°44′44″N,29°22′10″E,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Map_of_Lycia%2C_from_Travels_in_Lycia%2C_Milyas%2C_and_the_Cibyratis%2C_in_company_with_the_late_Rev._E._T._Daniell.jpg/643px-Map_of_Lycia%2C_from_Travels_in_Lycia%2C_Milyas%2C_and_the_Cibyratis%2C_in_company_with_the_late_Rev._E._T._Daniell.jpg,"Araxa (Ancient Greek: Ἄραξα) was a city of ancient Lycia, according to Alexander Polyhistor, in the second book of his Lyciaca.[1] Ptolemy places it near Sidyma.  It is located at place called Ören, near Fethiye, on the upper portion of the Xanthus River.  An inscription in honour of a local citizen, Orthagoras, provides some details of its history in the 2nd century B.C.[2]
"
47,Archival Wall of Aphrodisias,Greek,https://en.wikipedia.org//wiki/Archival_Wall_of_Aphrodisias,,,,"The so-called ""Archival Wall"" is the north end wall of the stage building of the theatre in the city of Aphrodisias, located in Anatolia, Turkey, which was built in the late 1st century BCE. This wall has attracted scholarly attention because it contains several, well-preserved inscriptions, that were added after the initial construction of the wall. The fact that these inscriptions survived the test of time relatively well and are mostly still in situ is what makes this wall unique. The documents preserved on the wall originate from the second and third century CE and range from senatorial decrees to imperial letters. Additionally, all documents attest to a good relation between the city of Aphrodisias and its Roman rulers.[1]
"
48,Ariassus,Greek,https://en.wikipedia.org//wiki/Ariassus,37°10′52″N,30°28′21″E,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Ariassos_6.jpg/800px-Ariassos_6.jpg,"Ariassus or Ariassos (Ancient Greek: Άριασσός) was a town in Pisidia, Asia Minor built on a steep hillside about 50 kilometres inland from Attaleia (modern Antalya).  
"
49,Arisba,Greek,https://en.wikipedia.org//wiki/Arisba,40°11′59″N,26°32′32″E,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Troas_el.svg/520px-Troas_el.svg.png,"Arisba or Arisbe (Ancient Greek: Ἀρίσβη; Eth. Ἀρισβαἰος), was a town of Mysia, mentioned by Homer in the same line with Sestos and Abydus.[1] It was between Percote and Abydus,[2] a colony of Mytilene, founded by Scamandrius and Ascanius, son of Aeneas. It was a member of the Delian League.[3]
"
